 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
дата,день недели,ЕГЭ/ОГЭ и др.,8-1,9-1,9-2,9-3,10-1,10-2,10-3,10-4,10-5,10-6,10-7,10-8,10-9,11-1,11-2,11-3,11-4,11-5,11-6,11-7,11-8,11-9,11-10,11-11,11-12,дата,день недели
4 декабря,пт,"Пробный ЕГЭ по химии 16:00  1.3,  4.12;
МЭ ВсОШ право",,,,,,,,,,,,,,,,,,,,,,,,,,5 декабря,пт
5 декабря,сб,,,Театр,,,,,,,,,,,,Химия П.К. 12:30,Химия П.К. 12:30 Театр,,,,,Театр,,,,,,6 декабря,сб
6 декабря,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,7 декабря,вс
7 декабря,пн,"МЭ ВсОШ китайский, испанский, итальянский",,,,,Анкетирование 5.6,,,,,,,,,"Биол. П.К. 16:00 1.3, ",,Биол. П.К. 5.13 16:00,"Биол. П.К. 16:00 1.3, 3.13","Биол. П.К. 16:00 4.13, 4.8, 4.5,  4.12  Конс.хим ",,Биол. П.К. 16:00 1.2,,Биол. П.К. гр.418 16:00 1.2,,,,8 декабря,пн
8 декабря,вт,МЭ ВсОШ программирование,,"Биол. П.К. 18:00 1.3, 3.13",,,,,"Биол. П.К. 16:00 4.13, 4.8, 4.5,  4.12",Хим. П.К. 16:00 3.10 ,"Биол. П.К. 16:00 4.13, 4.8, 4.5,  4.12",,,,Хим П.К. 16:00 3.14,,,,Хим. П.К. 16:00 5.6,,,,,Хим. П.К. 16:00 5.6,,,,9 декабря,вт
9 декабря,ср,,Конс. физ.,,,,"Биол. П.К. 16:00 4.12, 4.13, 4.9  ",,,Биол.П.К. 16:00 4.9,Физ ПК 16:00 1.3,,,,Биол.П.К. 16:00 4.9,,Конс. физ. 304 гр. 18:00 5.7,Конс Хим,,,,Хим. П.К. 17:00 5.6,,,Биол. ПК 522 гр. 16:00 4.6 ,,,10 декабря,ср
10 декабря,чт,,,,,,,,,,Хим. П.К.  16:00 5.6,,Хим. П.К. 16:00  1.3,,,,,,,Хим. П.К.  16:00 5.6,,,,,Конс. физ 522 10:20 4.6,,,11 декабря,чт
11 декабря,пт,,Конс.физ. 14:45 5.7,Хим. П.К. 16:00 1.3,,,,,,Физ. колл. 16:00 3.13,Конс.хим. 18:00 1.3,,,,,,,,"Физ ПК 15:30 5.6, 4.13, 4.12",,,,,"Физ ПК 15:30 5.6,  4.13, 4.12",Биол. ПК. гр. 521 15:30 4.7 ,,,12 декабря,пт
12 декабря,сб,,,,,Физ. конс. 18:00 5.6,,,,,,,,,Физ. колл. 16:00 3.13,,,,,,,,,,,,,13 декабря,сб
13 декабря,вс,,,,,,,,,,,,,,,,,,,,,,,,,,,14 декабря,вс
14 декабря,,, РАСПИСАНИЕ СЕССИИ (начало экзаменов 9:00),,,,,,,,,,,,,,,,,,,,,,,,,,
15 декабря,пн,"МЭ ВсОШ робототехника;
                    СЕССИЯ",Физика КР 4.13,,Мат. конс. 506 10:00 2.3,"Физика 3.13, 3.14",Конс. физ. 9:00 1.2,,Химия П 2.5,,Химия 5.6,,,,,,,Химия 2.10,,Химия 1.3,,,,,Физ П 3.10,,,15 декабря,пн
16 декабря,вт,СЕССИЯ,Конс.мат. 10:00 3.5,"Математика П 1.3, 2.10",,,"Физ П 3.13, 3.10, 3.14",,,,,,Мат П 5.6,,,,,,,,,"Мат П 4.12, 4.13",,,,,,16 декабря,вт
17 декабря,ср,"МЭ ВсОШ ИИ;
                    СЕССИЯ",,,,,,,,Мат П 4.12,,Конс.инф. 12:30 1.18,,,Мат П 4.13,Мат П 1.3,,Конс. физ. 16:00 2.8,,Конс.инф. 12:30 1.18,,,,,Конс. физ. 521 гр. 12:00  2.7; Конс хим 522 12:30 4.9,,,17 декабря,ср
18 декабря,чт,СЕССИЯ,Математика КР 4.12,Конс. мат. 16:00 1.3,,математика   П 1.3,Физ у 3.5,,Мат П 1.3,,"Мат П 3.13, 3.14, ",,Конс. мат. 18:00 5.6,,,Конс. мат. 9:00 1.2,,Физ У 4.13,Мат.п 5.6,"Мат П 2.3, 2.4, 2.5, 2.10. ",,Конс. мат. 18:00 1.3,,Мат.п 5.6,Химия гр. 522 4.9 Физ У  гр. 521 3.10,,,18 декабря,чт
19 декабря,пт,"МЭ ВсОШ информационная безопасность;
                    СЕССИЯ",,Мат у 2.10,,,,Физ у 3.5,,Конс. мат. 16:00 1.3,Конс. мат. 11:00 1.2,,Мат У 2.5,,Конс. мат. 16:00 1.3,Мат У 2.3,,,,,,Мат у 2.4,,,,,,19 декабря,пт
20 декабря,сб,СЕССИЯ,Конс.мат. 10:00 3.10,,Мат у 2.10,,,,Конс. мат. весь 10-3 11:00 2.7 Конс. мат. 18:30 1.2,Мат У 2.8,,,,Мат У 2.5,,,Мат У 2.3,Конс. мат. 18:00 1.2,Конс. мат. 18:00 1.3,Конс.мат. 16:45 5.6,,,Мат у 2.4,Конс. мат. 18:00 1.3,Конс. мат. 18:00 1.2,,,20 декабря,сб
